"n_region",region","delta_PIB_Reg"
15,"Región de Arica y Parinacota","14.451358473812"
1,"Región de Tarapacá","3.25856165488108"
2,"Región de Antofagasta","17.9210327668683"
3,"Región de Atacama","-5.44952976214137"
4,"Región de Coquimbo","1.34679191250622"
5,"Región de Valparaíso","12.5903203974132"
13,"Región Metropolitana de Santiago","9.73948907243707"
6,"Región del Libertador Gral. Bernardo O'Higgins","1.87170581907845"
7,"Región del Maule","8.40670993521779"
16,"Región de Ñuble","11.4192097652601"
8,"Región del Biobío","13.4705548921927"
9,"Región de La Araucanía","10.1455480724806"
14,"Región de Los Ríos","10.4301711374508"
10,"Región de Los Lagos","15.703023045152"
11,"Región de Aysén del Gral. Carlos Ibáñez del Campo","18.5987298866242"
